CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
4676-39-5;ND;0;0;0;0;0;0.0106;0.1;CC(=O)Cc1ccc2OCOc2c1;1-(1,3-benzodioxol-5-yl)propan-2-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
4476-28-2;ND;0;0;0;0;0;0.0101;0.1;CC(C)c1ccc(CC([O-])=O)cc1;2-(4-propan-2-ylphenyl)acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
10094-34-5;floral;ciruela;hierba;medio;aromatizante;0.002;0.854;0.3;CCCC(=O)OC(C)(C)Cc1ccccc1;(2-methyl-1-phenylpropan-2-yl) butanoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
65133-79-1;ND;0;0;0;0;0;2.602;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
5078-75-1;ND;0;0;0;0;0;0.2902;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
33704-61-9;musk;picante;amaderado;medio;aromatizante;0.003;0.8083;0.3;CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C;1,1,2,3,3-pentamethyl-2,5,6,7-tetrahydroinden-4-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
3691-11-0;ND;0;0;0;sustancia natural;0.009;0.3162;0.1;C[C@H]1CCC2=C(C)CC[C@H](C[C@@H]12)C(C)=C;(3S,3aS,5R)-3,8-dimethyl-5-prop-1-en-2-yl-1,2,3,3a,4,5,6,7-octahydroazulene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
6813-21-4;ND;0;0;0;sustancia natural;0.012;0.0234;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
475-20-7;maderoso;rosa;dulce;medio;aromatizante;0.031;0.0246;0.3;CC1(C)CCCC2(C)C3CCC(C13)C2=C;;"<img data-content=""rdkit/molecule"" src=""data:image/png"
28219-61-6;maderoso;amaderado;sa0alo;alto;aromatizante;0.00028;0.3974;0.5;CC\C(CO)=C/CC1CC=C(C)C1(C)C;(E)-2-ethyl-4-(2,2,3-trimethyl-1-cyclopent-3-enyl)but-2-en-1-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
28219-61-6;maderoso;amaderado;sa0alo;alto;aromatizante;0.00028;0.3974;0.5;CC\C(CO)=C/CC1CC=C(C)C1(C)C;(E)-2-ethyl-4-(2,2,3-trimethyl-1-cyclopent-3-enyl)but-2-en-1-ol;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000378-90-9;ND;0;0;0;0;0;1.0246;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
104-67-6;frutal;cremoso;melocoton;medio;aromatizante;0.003;0.1782;0.3;CCCCCCC[C@H]1CCC(=O)O1;(5S)-5-heptyloxolan-2-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
33704-61-9;musk;picante;amaderado;medio;aromatizante;0.003;0.8083;0.3;CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C;1,1,2,3,3-pentamethyl-2,5,6,7-tetrahydroinden-4-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
